#telescope used:
#	tel: VST	lon:-70.4033	lat:-24.625	height:2635	fovw:1.00*1.00	OB size:3*3	strategy:T(coverage:0.27)	exposure:45.00	pointing reassignmant:60.00
#OB infos:
#RA(J2000) DEC(J2000) Probability(%) airmass alt az time telescope nOB
236.00000	-1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:47:10.937326	VST	1
236.00000	0.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:48:40.937326	VST	1
236.00000	1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:50:10.937326	VST	1
237.00000	-1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:51:40.937326	VST	1
237.00000	0.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:53:10.937326	VST	1
237.00000	1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:54:40.937326	VST	1
238.00000	-1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:56:10.937326	VST	1
238.00000	0.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:57:40.937326	VST	1
238.00000	1.00000	2.48e-04	1.95	30.83	74.20	2019-03-23 04:59:10.937326	VST	1
250.53684	-16.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:18:58.937326	VST	2
250.53684	-15.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:20:28.937326	VST	2
250.53684	-14.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:21:58.937326	VST	2
251.57211	-16.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:23:28.937326	VST	2
251.57211	-15.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:24:58.937326	VST	2
251.57211	-14.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:26:28.937326	VST	2
252.60739	-16.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:27:58.937326	VST	2
252.60739	-15.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:29:28.937326	VST	2
252.60739	-14.00000	6.36e-03	1.94	30.97	93.31	2019-03-23 05:30:58.937326	VST	2
261.50201	-28.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:50:10.937326	VST	3
261.50201	-27.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:51:40.937326	VST	3
261.50201	-26.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:53:10.937326	VST	3
262.62434	-28.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:54:40.937326	VST	3
262.62434	-27.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:56:10.937326	VST	3
262.62434	-26.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:57:40.937326	VST	3
263.74667	-28.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 05:59:10.937326	VST	3
263.74667	-27.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 06:00:40.937326	VST	3
263.74667	-26.00000	8.81e-03	1.91	31.59	107.74	2019-03-23 06:02:10.937326	VST	3
267.08938	-34.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:21:22.937326	VST	4
267.08938	-33.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:22:52.937326	VST	4
267.08938	-32.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:24:22.937326	VST	4
268.28174	-34.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:25:52.937326	VST	4
268.28174	-33.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:27:22.937326	VST	4
268.28174	-32.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:28:52.937326	VST	4
269.47410	-34.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:30:22.937326	VST	4
269.47410	-33.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:31:52.937326	VST	4
269.47410	-32.00000	8.35e-03	1.76	34.66	114.30	2019-03-23 06:33:22.937326	VST	4
273.17102	-37.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 06:53:10.937326	VST	5
273.17102	-36.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 06:54:40.937326	VST	5
273.17102	-35.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 06:56:10.937326	VST	5
274.40709	-37.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 06:57:40.937326	VST	5
274.40709	-36.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 06:59:10.937326	VST	5
274.40709	-35.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 07:00:40.937326	VST	5
275.64316	-37.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 07:02:10.937326	VST	5
275.64316	-36.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 07:03:40.937326	VST	5
275.64316	-35.00000	8.14e-03	1.68	36.48	117.71	2019-03-23 07:05:10.937326	VST	5
258.33416	-25.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:24:22.937326	VST	6
258.33416	-24.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:25:52.937326	VST	6
258.33416	-23.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:27:22.937326	VST	6
259.42880	-25.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:28:52.937326	VST	6
259.42880	-24.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:30:22.937326	VST	6
259.42880	-23.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:31:52.937326	VST	6
260.52343	-25.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:33:22.937326	VST	6
260.52343	-24.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:34:52.937326	VST	6
260.52343	-23.00000	8.07e-03	1.22	54.84	97.28	2019-03-23 07:36:22.937326	VST	6
265.58112	-31.00000	7.80e-03	1.21	55.86	107.71	2019-03-23 07:56:10.937326	VST	7
265.58112	-30.00000	7.80e-03	1.21	55.86	107.71	2019-03-23 07:57:40.937326	VST	7
